0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1645151756697
0.2697,0.0210,-0.0390,-0.9619,0.0865,0.0194,-2.5941,-0.3924,0.0497,-0.1443,0.7895,1.9080,14.2751,1645151756717
0.2697,0.0210,-0.0390,-0.9619,0.0865,0.0194,-2.5941,-0.3924,0.0497,-0.1443,0.7895,1.9080,14.2751,1645151756737
0.2658,0.0184,-0.0321,-0.9633,0.0717,0.0184,-2.6024,-0.1767,-0.2905,-0.2859,0.6673,0.2764,5.6450,1645151756757
0.2658,0.0184,-0.0321,-0.9633,0.0717,0.0184,-2.6024,-0.1767,-0.2905,-0.2859,0.6673,0.2764,5.6450,1645151756777
0.2615,0.0120,-0.0369,-0.9644,0.0776,0.0038,-2.6118,0.9514,-0.2073,-0.0270,0.7480,-0.8744,5.1571,1645151756797
0.2615,0.0120,-0.0369,-0.9644,0.0776,0.0038,-2.6118,0.9514,-0.2073,-0.0270,0.7480,-0.8744,5.1571,1645151756817
0.2605,0.0134,-0.0380,-0.9646,0.0803,0.0060,-2.6139,-0.0310,0.0097,-0.0808,-1.0425,3.3650,10.1591,1645151756837
0.2605,0.0134,-0.0380,-0.9646,0.0803,0.0060,-2.6139,-0.0310,0.0097,-0.0808,-1.0425,3.3650,10.1591,1645151756859
0.2563,0.0106,-0.0339,-0.9660,0.0710,0.0030,-2.6228,-0.4015,-0.0725,-0.3022,0.0821,0.1641,13.9702,1645151756877
0.2563,0.0106,-0.0339,-0.9660,0.0710,0.0030,-2.6228,-0.4015,-0.0725,-0.3022,0.0821,0.1641,13.9702,1645151756897
0.2520,0.0051,-0.0302,-0.9672,0.0611,-0.0053,-2.6320,-0.4025,-0.4187,0.0027,2.1810,-2.3931,5.1880,1645151756917
0.2520,0.0051,-0.0302,-0.9672,0.0611,-0.0053,-2.6320,-0.4025,-0.4187,0.0027,2.1810,-2.3931,5.1880,1645151756937
0.2530,-0.0040,-0.0255,-0.9671,0.0472,-0.0207,-2.6304,-0.1817,0.1169,0.0748,-1.2943,2.9491,9.7573,1645151756957
0.2530,-0.0040,-0.0255,-0.9671,0.0472,-0.0207,-2.6304,-0.1817,0.1169,0.0748,-1.2943,2.9491,9.7573,1645151756977
0.2558,0.0056,-0.0232,-0.9664,0.0477,-0.0011,-2.6240,-0.0499,0.4380,0.0014,-3.6429,2.5892,15.0072,1645151756997
0.2558,0.0056,-0.0232,-0.9664,0.0477,-0.0011,-2.6240,-0.0499,0.4380,0.0014,-3.6429,2.5892,15.0072,1645151757019
0.2570,0.0127,-0.0159,-0.9662,0.0373,0.0163,-2.6213,-0.6499,0.2978,-0.0631,1.6718,1.3550,14.5679,1645151757037
0.2570,0.0127,-0.0159,-0.9662,0.0373,0.0163,-2.6213,-0.6499,0.2978,-0.0631,1.6718,1.3550,14.5679,1645151757057
0.2561,0.0115,-0.0053,-0.9666,0.0161,0.0195,-2.6235,-0.3518,-0.1203,-0.1232,1.1305,-1.1455,4.4139,1645151757077
0.2561,0.0115,-0.0053,-0.9666,0.0161,0.0195,-2.6235,-0.3518,-0.1203,-0.1232,1.1305,-1.1455,4.4139,1645151757097
